run_time,pushups,situps
847,60,83
887,53,67
879,60,70
919,55,60
816,60,71
814,78,83
814,74,70
855,70,69
980,46,48
954,50,55
1078,50,48
1001,59,61
766,62,71
916,64,65
798,51,62
782,66,64
836,73,69
837,78,80
791,80,90
838,70,78
853,70,85
840,79,86
740,93,91
763,80,100
778,78,78
855,70,48
875,60,60
868,78,73
880,50,50
905,70,67
895,69,64
720,125,95
712,80,80
703,99,92
741,80,80
792,61,68
808,50,50
761,55,52
785,60,49
801,60,59
810,65,54
1013,66,82
882,58,57
861,62,67
845,60,61
865,90,82
883,78,72
881,86,80
921,86,77
816,69,56
837,74,68
1056,40,45
1034,40,50
774,78,76
821,70,70
850,78,70
870,70,61
931,55,60
930,55,73
808,80,66
828,78,62
719,78,78
707,68,70
934,45,45
939,45,45
977,47,51
896,88,65
921,70,71
815,80,84
838,79,81
854,71,82
1063,50,55
1024,50,50
780,73,78
813,78,71
850,78,80
902,63,60
906,60,60
865,78,84
886,78,82
881,78,82
825,50,59
821,61,56
832,62,67
