Cat_num,LUPI,OPD,min_mean,max_mean,min_var,max_var,min_99ci,max_99ci
15141,2,2,21.64,31.46,487.95,1404.68,72.85,116.61
15141,2,4,21.99,28.80,530.10,1155.96,75.26,106.76
15141,2,6,21.00,28.41,455.47,978.87,70.75,100.01
15141,2,8,22.03,25.82,467.74,864.38,72.84,93.13
15141,4,2,29.39,47.00,86.08,2031.48,69.17,141.68
15141,4,4,27.75,33.51,339.87,775.17,72.27,95.77
15141,4,6,24.66,29.58,232.68,499.46,60.29,80.48
15141,4,8,23.47,28.31,239.09,443.33,60.59,75.74
15141,6,2,38.38,54.89,474.79,1067.75,89.09,129.23
15141,6,4,35.31,48.29,422.10,1328.83,83.38,130.70
15141,6,6,34.69,41.05,308.38,663.55,75.21,100.16
15141,6,8,34.46,38.45,299.10,525.48,74.64,91.29
15141,8,2,44.77,65.60,358.74,994.31,90.71,135.61
15141,8,4,39.58,52.65,274.12,482.20,79.47,101.96
15141,8,6,37.40,47.70,263.32,386.98,79.02,89.39
15141,8,8,38.27,45.63,245.63,324.44,75.84,86.28
