Year,January,February
1874,6.41,4.48
1875,4.18,2.43
1876,5.43,4.18
1877,3.38,1.89
1878,5.47,3.81
1879,5.24,4.19
1880,4.57,2.9
1881,3.46,2.13
1882,7.07,5.36
1883,6.48,5.25
1884,4.45,3.01
1885,4.55,3.06
1886,4.66,3.46
1887,5.16,4.09
1888,4.81,3.33
1889,3.77,2.33
1890,4.64,3.04
1891,5.12,3.18
1892,2.86,1.7
1893,4.09,2.41
1894,5.24,3.19
1895,4.84,3.17
1896,6.14,4.8
1897,5.01,3.29
1898,6.25,4.67
1899,5.93,4.48
1900,6.44,4.54
1901,4.34,3.1
1902,5.58,4.31
1903,1.94,1.23
1904,3.84,2.39
1905,3.38,1.96
1906,3.62,2.24
1907,4.5,3.43
1908,3.85,2.5
1909,3.69,2.68
1910,4.29,2.89
1911,3.6,2.25
1912,4.53,3.43
1913,5,3.89
1914,4.34,3.2
1915,2.76,2.21
1916,2.89,1.91
1917,1.64,1.23
1918,3.98,2.74
1919,3.49,2.3
1920,4.74,3.79
1921,4.8,3.92
1922,3.28,2.42
1923,2.88,1.95
1924,3.28,2.16
1925,2.91,1.85
1926,3.14,2.01
1927,3.57,2.32
1928,3.25,2.14
1929,2.97,1.92
1930,3.6,2.5
1931,2.41,1.54
1932,3.28,2.18
1933,3.66,2.49
1934,2.46,1.67
1935,3.05,1.97
1936,3.84,3.14
1937,3.89,2.56
1938,3.77,2.62
1939,3.46,2.52
1940,3.11,2.15
1941,3.36,2.15
1942,4.02,3.28
1943,3.13,1.93
1944,2.24,1.53
1945,3.33,2.13
1946,3.15,1.89
1947,2.8,1.81
1948,2.65,1.68
1949,3.82,2.53
1950,4.33,3.67
1951,3.71,2.77
1952,3.66,2.89
1953,3.94,3
1954,3.63,2.28
1955,3.23,1.91
1956,2.76,1.73
1957,3.12,1.75
1958,4.11,2.9
1959,3.59,2.89
1960,4.02,3.44
1961,2.63,1.8
1962,3.58,2.36
1963,3.68,2.64
1964,3.06,1.84
1965,4.34,3.37
1966,4.03,3.22
1967,5.13,3.96
1968,6.13,5.67
1969,4.58,3.61
1970,4.61,3.76
1971,4.94,4.28
1972,3.91,3.13
1973,4.03,3.19
1974,4.64,3.62
1975,4.45,3.73
1976,2.89,2.45
1977,3.57,2.57
1978,4.18,3.17
1979,4.71,3.93
1980,4.12,2.93
1981,5.76,3.53
1982,4.71,3.55
1983,3.63,2.82
1984,3.74,2.78
1985,3.94,2.85
1986,3.47,2.91
1987,3.88,4.01
1988,3.7,3.12
