x,lb,F_x,ub
5.9,-0.182,0.023,0.228
6,-0.16,0.045,0.25
6.4,-0.114,0.091,0.296
6.5,-0.069,0.136,0.341
6.6,-0.046,0.159,0.364
6.7,-0.023,0.182,0.387
6.9,0,0.205,0.41
7,0.022,0.227,0.432
7.1,0.045,0.25,0.455
7.2,0.068,0.273,0.478
7.5,0.113,0.318,0.523
7.8,0.136,0.341,0.546
7.9,0.159,0.364,0.569
8.1,0.204,0.409,0.614
8.2,0.227,0.432,0.637
8.9,0.25,0.455,0.66
9.3,0.295,0.5,0.705
9.6,0.318,0.523,0.728
10.4,0.34,0.545,0.75
10.6,0.363,0.568,0.773
11.8,0.409,0.614,0.819
12.6,0.431,0.636,0.841
12.9,0.454,0.659,0.864
14.3,0.477,0.682,0.887
15,0.5,0.705,0.91
16.2,0.522,0.727,0.932
16.3,0.545,0.75,0.955
17,0.568,0.773,0.978
17.2,0.59,0.795,1
22.8,0.613,0.818,1.023
23.1,0.636,0.841,1.046
33,0.659,0.864,1.069
40,0.681,0.886,1.091
42.8,0.704,0.909,1.114
43,0.727,0.932,1.137
44.8,0.75,0.955,1.16
45,0.772,0.977,1.182
45.8,0.795,1,1.205
